person_id,person_name,election_id,ballot_paper_id,election_date,election_current,party_name,party_id,post_label,cancelled_poll,seats_contested,homepage_url
3156,Jane Hunt,parl.2024-07-04,parl.loughborough.2024-07-04,2024-07-04,f,Conservative and Unionist Party,PP52,Loughborough,f,1,https://www.janehunt.uk/
5555,Ross David Pepper,parl.2024-07-04,parl.louth-and-horncastle.2024-07-04,2024-07-04,f,Liberal Democrats,PP90,Louth and Horncastle,f,1,http://louthandhorncastlelibdems.org.uk/
4395,Jess Asato,parl.2024-07-04,parl.lowestoft.2024-07-04,2024-07-04,f,Labour Party,PP53,Lowestoft,f,1,https://jessasato.org.uk
105836,Jilleane Brown,parl.2024-07-04,parl.luton-north.2024-07-04,2024-07-04,f,Conservative and Unionist Party,PP52,Luton North,f,1,https://www.jilleanebrown.co.uk/
61165,Rachel Hopkins,parl.2024-07-04,parl.luton-south-and-south-bedfordshire.2024-07-04,2024-07-04,f,Labour Party,PP53,Luton South and South Bedfordshire,f,1,http://www.rachelhopkins.org
7417,Attiq Ahmed Malik,parl.2024-07-04,parl.luton-south-and-south-bedfordshire.2024-07-04,2024-07-04,f,Independent,ynmp-party:2,Luton South and South Bedfordshire,f,1,https://lutonindependent.co.uk/
5632,Neil Christian,parl.2024-07-04,parl.macclesfield.2024-07-04,2024-07-04,f,Liberal Democrats,PP90,Macclesfield,f,1,https://www.macclesfieldlibdems.org.uk/
2806,David Rutley,parl.2024-07-04,parl.macclesfield.2024-07-04,2024-07-04,f,Conservative and Unionist Party,PP52,Macclesfield,f,1,https://www.davidrutley.org.uk/
116648,Christopher Wellavize,parl.2024-07-04,parl.macclesfield.2024-07-04,2024-07-04,f,Independent,ynmp-party:2,Macclesfield,f,1,https://www.chriswellavize.co.uk/
2111,Stuart Robert Jeffery,parl.2024-07-04,parl.maidstone-and-malling.2024-07-04,2024-07-04,f,Green Party,PP63,Maidstone and Malling,f,1,https://stuartjeffery.net/
94123,Paul Thomas,parl.2024-07-04,parl.maidstone-and-malling.2024-07-04,2024-07-04,f,Reform UK,PP7931,Maidstone and Malling,f,1,https://www.reformparty.uk
116933,Thomas Bryer,parl.2024-07-04,parl.makerfield.2024-07-04,2024-07-04,f,English Democrats,PP17,Makerfield,f,1,https://www.thomasbryer.com
78531,Josh Simons,parl.2024-07-04,parl.makerfield.2024-07-04,2024-07-04,f,Labour Party,PP53,Makerfield,f,1,https://www.joshsimons.org/
116679,Parham Hashemi,parl.2024-07-04,parl.manchester-central.2024-07-04,2024-07-04,f,Workers Party of Britain,PP11382,Manchester Central,f,1,https://www.parhamhashemi.co.uk/
1570,Lucy Powell,parl.2024-07-04,parl.manchester-central.2024-07-04,2024-07-04,f,Labour and Co-operative Party,joint-party:53-119,Manchester Central,f,1,http://www.lucypowell.org.uk
117945,Caitriona Rylance,parl.2024-07-04,parl.manchester-central.2024-07-04,2024-07-04,f,Communist Future,PP17412,Manchester Central,f,1,https://www.communistfuture.com/
117835,Faraz Bhatti,parl.2024-07-04,parl.manchester-rusholme.2024-07-04,2024-07-04,f,Independent,ynmp-party:2,Manchester Rusholme,f,1,https://farazbhatti.co.uk/
14797,Peter Clifford,parl.2024-07-04,parl.manchester-rusholme.2024-07-04,2024-07-04,f,Communist League Election Campaign,PP12791,Manchester Rusholme,f,1,https://themilitant.com/2024/06/01/uk-election-reveals-depth-of-crisis-facing-the-british-rulers/
22549,Afzal Khan,parl.2024-07-04,parl.manchester-rusholme.2024-07-04,2024-07-04,f,Labour Party,PP53,Manchester Rusholme,f,1,https://www.afzalkhan.org.uk/
4378,Jeff Smith,parl.2024-07-04,parl.manchester-withington.2024-07-04,2024-07-04,f,Labour Party,PP53,Manchester Withington,f,1,http://www.jeffsmith.org.uk
1969,Michael Wyatt,parl.2024-07-04,parl.mansfield.2024-07-04,2024-07-04,f,Liberal Democrats,PP90,Mansfield,f,1,https://michaelwyatt.mycouncillor.org.uk/
116410,Malcolm John Cupis,parl.2024-07-04,parl.melksham-and-devizes.2024-07-04,2024-07-04,f,Reform UK,PP7931,Melksham and Devizes,f,1,https://www.reformwiltshire.com/melksham-and-devizes
1251,Brian Mathew,parl.2024-07-04,parl.melksham-and-devizes.2024-07-04,2024-07-04,f,Liberal Democrats,PP90,Melksham and Devizes,f,1,https://www.melkshamanddevizeslibdems.org.uk
53517,Lorenzo de Gregori,parl.2024-07-04,parl.merthyr-tydfil-and-aberdare.2024-07-04,2024-07-04,f,Independent,ynmp-party:2,Merthyr Tydfil and Aberdare,f,1,https://mcgregor.cc/
27058,Amanda Jenner,parl.2024-07-04,parl.merthyr-tydfil-and-aberdare.2024-07-04,2024-07-04,f,Conservative and Unionist Party,PP52,Merthyr Tydfil and Aberdare,f,1,https://www.amandajenner.org.uk/
5097,Gerald Jones,parl.2024-07-04,parl.merthyr-tydfil-and-aberdare.2024-07-04,2024-07-04,f,Labour Party,PP53,Merthyr Tydfil and Aberdare,f,1,http://www.geraldjones.co.uk
425,Stephen Crabb,parl.2024-07-04,parl.mid-and-south-pembrokeshire.2024-07-04,2024-07-04,f,Conservative and Unionist Party,PP52,Mid and South Pembrokeshire,f,1,https://www.stephencrabb.com/
33270,Cris Tomos,parl.2024-07-04,parl.mid-and-south-pembrokeshire.2024-07-04,2024-07-04,f,Plaid Cymru - The Party of Wales,PP77,Mid and South Pembrokeshire,f,1,https://www.partyof.wales/manifesto
